model,src,tgt,top1,mrr
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,tajik,0.004,0.014883644714867203
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,tamil,0.614,0.6993195560038175
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,turkish,0.789,0.8422455062559573
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,urdu,0.731,0.7961076680484321
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,uyghur,0.38,0.4757926120101314
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,uzbek,0.012,0.03383620892443274
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,vietnamese,0.775,0.8355798550323661
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,yoruba,0.006,0.027707101354050852
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,albanian,0.011,0.023280222872440578
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,assamese,0.003,0.014006151700352902
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,azeri,0.004,0.01464864061476841
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,bosnian-mihanovich,0.007,0.019351320388513567
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,bosnian-rwwad,0.004,0.015392190608089837
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,chinese,0.005,0.013494220334296113
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,croatian,0.004,0.014965026456164213
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,dutch,0.004,0.016277911997657688
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,english,0.007,0.01730294570222373
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,french,0.008,0.019629223796276157
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,german,0.006,0.01692041171731416
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,gujarati,0.008,0.021428053854271774
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,hausa,0.005,0.01830769936676416
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,indonesian,0.005,0.017270936064543753
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,japanese,0.002,0.009464366566901649
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,kannada,0.007,0.0158381938652623
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,khmer,0.001,0.008632010609647849
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,kurdish,0.004,0.015972590207284202
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,kyrgyz,0.003,0.013438109532366887
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,lingala,0.003,0.01279843445040381
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,lithuanian,0.005,0.01666644479386381
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,macedonian,0.004,0.01649255075267144
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,malayalam,0.003,0.011585700665289831
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,moore,0.009,0.02351980793613055
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,oromo,0.008,0.025290207466711092
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,pashto,0.005,0.016605624022973105
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,persian,0.005,0.01710042102020241
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,portuguese,0.011,0.02358009386186334
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,romanian,0.006,0.018045413582596512
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,serbian,0.005,0.015023361291992578
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,spanish,0.005,0.019088604461498605
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,tagalog,0.01,0.02525722237896847
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,tajik,0.002,0.012695773032405717
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,tamil,0.003,0.013526409597731551
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,turkish,0.003,0.01440011101990314
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,urdu,0.009,0.018239239627814867
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,uyghur,0.001,0.0113501967010259
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,uzbek,0.003,0.013442692065162482
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,vietnamese,0.008,0.02262518397873876
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,yoruba,0.005,0.019042232381620193
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,albanian,0.131,0.21486908393726042
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,asante,0.004,0.013009869162494648
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,azeri,0.115,0.1888329935517121
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,bosnian-mihanovich,0.125,0.2014835840728128
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,bosnian-rwwad,0.116,0.19942625390991292
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,chinese,0.128,0.19260496416853123
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,croatian,0.12,0.20226476426704118
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,dutch,0.144,0.22477989287851416
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,english,0.17,0.25287329495921823
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,french,0.109,0.1833075908083366
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,german,0.152,0.22460749457213142
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,gujarati,0.087,0.13053637376996657
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,hausa,0.003,0.015879126398813583
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,indonesian,0.147,0.22453301947014426
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,japanese,0.099,0.1616499698212165
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,kannada,0.126,0.19129362897092503
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,khmer,0.095,0.15357544956923566
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,kurdish,0.069,0.11223028362563356
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,kyrgyz,0.095,0.15032368141603283
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,lingala,0.002,0.01342948573055699
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,lithuanian,0.111,0.1957163595140177
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,macedonian,0.158,0.23319552490102935
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,malayalam,0.129,0.20124944723716293
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,moore,0.003,0.015134352892539522
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,oromo,0.003,0.01266079961173277
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,pashto,0.069,0.1254555701037221
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,persian,0.15,0.22136823419019447
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,portuguese,0.145,0.2243733734276162
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,romanian,0.144,0.221861513149358
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,serbian,0.14,0.2180508186719257
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,spanish,0.132,0.20982891916524168
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,tagalog,0.011,0.024310629275795734
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,tajik,0.002,0.013191952905926315
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,tamil,0.137,0.20796354880375176
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,turkish,0.117,0.18903324597926383
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,urdu,0.128,0.18881751439191582
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,uyghur,0.082,0.13601360182183428
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,uzbek,0.002,0.015421858261173142
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,vietnamese,0.155,0.23822658985024542
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,yoruba,0.004,0.018790833593649442
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,albanian,0.577,0.6609007482855165
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,asante,0.01,0.020627058934334874
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,assamese,0.15,0.24157436387010786
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,bosnian-mihanovich,0.576,0.6514440362331552
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,bosnian-rwwad,0.566,0.6472361536657126
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,chinese,0.37,0.4593455509613121
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,croatian,0.563,0.6436549753059889
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,dutch,0.525,0.6230083708405453
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,english,0.581,0.6635793691332083
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,french,0.471,0.5577598215414619
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,german,0.513,0.6090433073920404
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,gujarati,0.2,0.25979468991674937
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,hausa,0.006,0.019122270276833112
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,indonesian,0.573,0.6539686282033632
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,japanese,0.437,0.5262717690837418
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,kannada,0.36,0.45207597631950763
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,khmer,0.284,0.38371999759305797
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,kurdish,0.193,0.27778683867979337
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,kyrgyz,0.353,0.4329450333974465
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,lingala,0.006,0.017217061069295846
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,lithuanian,0.537,0.6317942662333412
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,macedonian,0.585,0.6628325564900699
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,malayalam,0.415,0.5096374008155717
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,moore,0.006,0.019190733061292566
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,oromo,0.006,0.01652119603289291
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,pashto,0.255,0.33769613686446964
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,persian,0.61,0.6950722904547824
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,portuguese,0.54,0.6285297214298964
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,romanian,0.554,0.6392163491550862
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,serbian,0.566,0.6479408811067737
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,spanish,0.484,0.5779265017541011
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,tagalog,0.019,0.03695573241398849
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,tajik,0.004,0.016262942336032232
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,tamil,0.487,0.5798171775778449
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,turkish,0.657,0.7243702820893371
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,urdu,0.513,0.600330618252131
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,uyghur,0.332,0.4193101214478173
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,uzbek,0.016,0.034084810080534225
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,vietnamese,0.509,0.6075960837402344
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,yoruba,0.005,0.024732817697159116
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,albanian,0.835,0.8788674227624752
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,asante,0.007,0.01974562113069942
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,assamese,0.208,0.2986275217473088
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,azeri,0.655,0.7325070082702384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,bosnian-rwwad,0.982,0.9871631396287328
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,chinese,0.62,0.7085443112031904
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,croatian,0.975,0.980871925045956
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,dutch,0.839,0.8803167946170555
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,english,0.862,0.8972393614850382
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,french,0.746,0.8071419337020468
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,german,0.826,0.8700126286688069
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,gujarati,0.315,0.3812295541630958
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,hausa,0.003,0.0182200893489365
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,indonesian,0.706,0.7778230405352866
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,japanese,0.712,0.7828579409726308
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,kannada,0.518,0.5961981733489745
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,khmer,0.497,0.5909296728070174
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,kurdish,0.304,0.3880904671002118
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,kyrgyz,0.423,0.5128252624068774
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,lingala,0.007,0.019669064162140076
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,lithuanian,0.776,0.8312158737936463
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,macedonian,0.924,0.9459365145544418
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,malayalam,0.59,0.6842143272864827
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,moore,0.004,0.017805457678854546
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,oromo,0.005,0.016076876273357698
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,pashto,0.354,0.4436640968022516
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,persian,0.698,0.776170627005957
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,portuguese,0.806,0.8538004284429939
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,romanian,0.825,0.8697757684899564
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,serbian,0.946,0.9600630056324806
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,spanish,0.724,0.7929675580742646
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,tagalog,0.023,0.04466368218041763
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,tajik,0.004,0.01572792118383383
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,tamil,0.612,0.6998426943276743
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,turkish,0.708,0.7800418250104664
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,urdu,0.699,0.7686571097605993
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,uyghur,0.387,0.4756525736584917
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,uzbek,0.013,0.03416311821063843
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,vietnamese,0.758,0.8207322890054907
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,yoruba,0.007,0.02697762830452557
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,albanian,0.838,0.8811320799896218
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,asante,0.005,0.018552623982227182
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,assamese,0.207,0.29729810826061026
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,azeri,0.647,0.7266386092680783
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,bosnian-mihanovich,0.981,0.9864857952125394
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,chinese,0.637,0.7222996643154194
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,croatian,0.988,0.9912591532498509
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,dutch,0.824,0.8729869042960524
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,english,0.867,0.9006926908009218
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,french,0.742,0.8042458669797743
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,german,0.834,0.8758236191901126
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,gujarati,0.316,0.38031836878401304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,hausa,0.004,0.018552405166400582
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,indonesian,0.705,0.7749907620334807
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,japanese,0.711,0.7838452315471124
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,kannada,0.512,0.5887717228096224
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,khmer,0.485,0.5811598428652048
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,kurdish,0.298,0.3836619232495671
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,kyrgyz,0.423,0.5096144065373456
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,lingala,0.007,0.01819774164063448
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,lithuanian,0.772,0.8290691945365822
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,macedonian,0.925,0.9478187729103412
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,malayalam,0.582,0.6780092215820639
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,moore,0.008,0.020834581301717548
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,oromo,0.004,0.014945094830756454
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,pashto,0.345,0.4400233896831704
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,persian,0.709,0.7819957080593369
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,portuguese,0.807,0.8536218419532993
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,romanian,0.83,0.8714859671285512
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,serbian,0.956,0.9676574409799599
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,spanish,0.736,0.7992328908531792
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,tagalog,0.024,0.04581063481820885
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,tajik,0.004,0.016388075976033378
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,tamil,0.6,0.6937579372191298
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,turkish,0.715,0.7844565870129452
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,urdu,0.709,0.7747139017178227
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,uyghur,0.383,0.47533608613375045
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,uzbek,0.015,0.0361503732297877
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,vietnamese,0.766,0.8247404409945811
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,yoruba,0.008,0.027222742302656706
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,albanian,0.685,0.768134378347124
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,asante,0.001,0.009695407562187989
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,assamese,0.192,0.2759362108277768
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,azeri,0.498,0.6054734393584787
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,bosnian-mihanovich,0.634,0.7170163617306125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,bosnian-rwwad,0.644,0.7221358316089698
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,croatian,0.647,0.7288388485113749
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,dutch,0.629,0.7152910990004484
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,english,0.686,0.7724125112026179
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,french,0.572,0.6587595580795362
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,german,0.61,0.6904748926244132
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,gujarati,0.262,0.32869459751967234
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,hausa,0.001,0.011800027700522587
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,indonesian,0.716,0.7872240856524045
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,japanese,0.638,0.7225476549126129
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,kannada,0.475,0.5593699754036956
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,khmer,0.545,0.6446281216498038
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,kurdish,0.278,0.3708277564973177
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,kyrgyz,0.264,0.358365637354415
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,lingala,0.003,0.013235095174760264
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,lithuanian,0.56,0.6513652079511738
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,macedonian,0.66,0.7421530153974624
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,malayalam,0.497,0.5999451164064616
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,moore,0.005,0.016410424320741322
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,oromo,0.004,0.013206076846002368
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,pashto,0.28,0.3818497321893675
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,persian,0.615,0.7110291009237147
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,portuguese,0.599,0.6893156782758123
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,romanian,0.586,0.6718353541794482
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,serbian,0.651,0.7356733551915042
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,spanish,0.607,0.7078952406759954
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,tagalog,0.013,0.029736368646917744
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,tajik,0.003,0.013528728549119545
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,tamil,0.496,0.5942227963511525
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,turkish,0.65,0.7321280355226221
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,urdu,0.55,0.6521954745184714
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,uyghur,0.301,0.39647555693680486
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,uzbek,0.015,0.03281716907555801
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,vietnamese,0.627,0.7172184449550195
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,yoruba,0.006,0.021184476560517283
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,albanian,0.847,0.8891770191527967
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,asante,0.006,0.018935288958888363
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,assamese,0.215,0.30003225220696805
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,azeri,0.652,0.7293074857634849
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,bosnian-mihanovich,0.975,0.9811883570738156
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,bosnian-rwwad,0.984,0.989093409401557
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,chinese,0.641,0.7255016833528779
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,dutch,0.83,0.8769543565229738
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,english,0.881,0.9103711938679631
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,french,0.743,0.8032383795074954
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,german,0.844,0.8843300095584361
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,gujarati,0.314,0.38042059680939416
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,hausa,0.004,0.018417145145050058
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,indonesian,0.724,0.7904858401950584
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,japanese,0.719,0.7902824854186463
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,kannada,0.51,0.5890860107995034
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,khmer,0.475,0.5710833827241014
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,kurdish,0.301,0.3843826356489132
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,kyrgyz,0.409,0.4981482775911293
